,XPath,ACOM_ISO,CGD_ISO,CISL_ISO,EOL_ISO,HAO_ISO,Library_ISO,MMM_ISO,OpenSky_ISO,RDA_ISO,Unidata_ISO
73,/identificationInfo/characterSet/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,0
81,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/administrativeArea,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
82,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/city,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
83,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/country,0,0,0,97.85%,20.00%,0,0,0,0,100.00%
84,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/deliveryPoint,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
85,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/electronicMailAddress,20.00%,0,0,75.98%,20.00%,0,0,0,0,100.00%
86,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/postalCode,0,0,0,100.00%,20.00%,0,0,0,0,100.00%
88,/identificationInfo/citation/citedResponsibleParty/contactInfo/onlineResource/linkage/URL,20.00%,0,0,100.00%,20.00%,0,0,0,0,100.00%
90,/identificationInfo/citation/citedResponsibleParty/contactInfo/phone/voice,20.00%,0,0,67.93%,0,0,0,0,0,0
91,/identificationInfo/citation/citedResponsibleParty/individualName,100.00%,100.00%,100.00%,78.45%,100.00%,100.00%,100.00%,100.00%,6.04%,100.00%
92,/identificationInfo/citation/citedResponsibleParty/individualName/@nilReason,100.00%,100.00%,100.00%,0,40.00%,100.00%,100.00%,0,0,100.00%
93,/identificationInfo/citation/citedResponsibleParty/organisationName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
95,/identificationInfo/citation/citedResponsibleParty/positionName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,0,100.00%
96,/identificationInfo/citation/citedResponsibleParty/positionName/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
97,/identificationInfo/citation/citedResponsibleParty/role,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
98,/identificationInfo/citation/citedResponsibleParty/role/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
99,/identificationInfo/citation/citedResponsibleParty/role/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
102,/identificationInfo/citation/date/date/Date,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,100.00%,100.00%
104,/identificationInfo/citation/date/dateType,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
105,/identificationInfo/citation/date/dateType/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
106,/identificationInfo/citation/date/dateType/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
139,/identificationInfo/citation/title,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
141,/identificationInfo/descriptiveKeywords/keyword,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
150,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/electronicMailAddress,0,0,0,0,0,6.25%,0,0,0,100.00%
153,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/onlineResource/linkage/URL,0,0,0,0,0,6.25%,0,0,0,100.00%
155,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/individualName/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
156,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/organisationName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
158,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/positionName/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
159,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/role,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
160,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/role/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
161,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/role/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
162,/identificationInfo/descriptiveKeywords/thesaurusName/date/date/Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
164,/identificationInfo/descriptiveKeywords/thesaurusName/date/dateType,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
165,/identificationInfo/descriptiveKeywords/thesaurusName/date/dateType/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
166,/identificationInfo/descriptiveKeywords/thesaurusName/date/dateType/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
169,/identificationInfo/descriptiveKeywords/thesaurusName/title,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
170,/identificationInfo/descriptiveKeywords/type,100.00%,100.00%,100.00%,74.92%,100.00%,100.00%,100.00%,100.00%,0,100.00%
171,/identificationInfo/descriptiveKeywords/type/@codeList,100.00%,100.00%,100.00%,74.92%,100.00%,100.00%,100.00%,100.00%,0,100.00%
172,/identificationInfo/descriptiveKeywords/type/@codeListValue,100.00%,100.00%,100.00%,74.92%,100.00%,100.00%,100.00%,100.00%,0,100.00%
176,/identificationInfo/extent/description/@nilReason,0,0,0,0,60.00%,50.00%,0,0,0,0
179,/identificationInfo/extent/geographicElement/eastBoundLongitude/Decimal,60.00%,100.00%,0,100.00%,0,43.75%,0,0,57.88%,0
180,/identificationInfo/extent/geographicElement/extentTypeCode/Boolean,0,100.00%,0,0,0,0,0,0,0,0
196,/identificationInfo/extent/geographicElement/northBoundLatitude/Decimal,60.00%,100.00%,0,100.00%,0,43.75%,0,0,57.88%,0
199,/identificationInfo/extent/geographicElement/southBoundLatitude/Decimal,60.00%,100.00%,0,100.00%,0,43.75%,0,0,57.88%,0
200,/identificationInfo/extent/geographicElement/westBoundLongitude/Decimal,60.00%,100.00%,0,100.00%,0,43.75%,0,0,57.88%,0
202,/identificationInfo/extent/temporalElement/@nilReason,0,0,0,0,0,37.50%,0,0,0,0
209,/identificationInfo/extent/verticalElement/@nilReason,80.00%,100.00%,0,0,100.00%,62.50%,0,0,0,0
214,/identificationInfo/language/LanguageCode,100.00%,100.00%,100.00%,0,100.00%,93.75%,100.00%,100.00%,0,100.00%
215,/identificationInfo/language/LanguageCode/@codeList,100.00%,100.00%,100.00%,0,100.00%,93.75%,100.00%,100.00%,0,100.00%
216,/identificationInfo/language/LanguageCode/@codeListValue,100.00%,100.00%,100.00%,0,100.00%,93.75%,100.00%,100.00%,0,100.00%
223,/identificationInfo/pointOfContact/contactInfo/address/electronicMailAddress,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
229,/identificationInfo/pointOfContact/contactInfo/phone/voice,40.00%,0,0,55.43%,60.00%,0,0,0,100.00%,45.45%
230,/identificationInfo/pointOfContact/individualName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
232,/identificationInfo/pointOfContact/organisationName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
233,/identificationInfo/pointOfContact/positionName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%
235,/identificationInfo/pointOfContact/role,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
236,/identificationInfo/pointOfContact/role/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
237,/identificationInfo/pointOfContact/role/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
239,/identificationInfo/resourceConstraints/otherConstraints,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
240,/identificationInfo/resourceConstraints/useLimitation,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
260,/identificationInfo/topicCategory,0,100.00%,0,100.00%,0,100.00%,0,100.00%,100.00%,100.00%
263,/language/LanguageCode,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
264,/language/LanguageCode/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
265,/language/LanguageCode/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
279,/metadataStandardName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%
280,/metadataStandardVersion,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%
281,/parentIdentifier/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
