,XPath,ACOM_ISO,CGD_ISO,CISL_ISO,EOL_ISO,HAO_ISO,Library_ISO,MMM_ISO,OpenSky_ISO,RDA_ISO,Unidata_ISO
4,/characterSet/@nilReason,100.00%,100.00%,100.00%,0,100.00%,0,100.00%,0,0,0
11,/contact/contactInfo/address/electronicMailAddress,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
17,/contact/contactInfo/phone/voice,60.00%,0,0,0,60.00%,0,0,0,0,100.00%
18,/contact/individualName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,0,100.00%
20,/contact/organisationName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
21,/contact/positionName,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%
23,/contact/role,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
24,/contact/role/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
25,/contact/role/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
26,/dataSetURI,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,100.00%,100.00%
28,/dateStamp/DateTime,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,100.00%,100.00%,100.00%,100.00%
63,/fileIdentifier,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
64,/hierarchyLevel,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
65,/hierarchyLevel/@codeList,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
66,/hierarchyLevel/@codeListValue,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
67,/hierarchyLevelName/@nilReason,100.00%,100.00%,100.00%,0,100.00%,100.00%,100.00%,0,0,100.00%
69,/identificationInfo/abstract,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
